"","Brand","Model.Number","Price","Photo","Engine.Type","Body.Type","Fuel.Type","Gearbox.Type","Power.hp","Displacement.l","Torque.lbft","Cylinders","Drivetrain","MPG.City","MPG.Highway","Seats","Doors","Height.in","Length.in","Width.in","Wheelbase.in","Clearance.in","Air.Conditioner","Heater","AntiLock.Braking.System","Central.Locking","Power.Steering","Power.Windows","Leather.Seats","Anti.Lock.Braking","Brake.Assist","Central.Locking.1","Power.Door.Locks","Child.Safety.Locks","Night.Rear.View.Mirror","Rear.Seat.Belts","Door.Ajar.Warning","Adjustable.Seats","Crash.Sensor","Engine.Check.Warning","Rear.Camera","Anti.Theft.Device","Touch.Screen","Audio.System.Remote.Control","Speakers.Front...back","Bluetooth.Connectivity","USB...Auxiliary.Input","Adjustable.Steering.Column","Height.Adjustable.Driving.Seat","Digital.Clock","Smoke.Headlamps","Electric.Folding.Rear.View.Mirror","Automatic.Climate.Control","Low.Fuel.Warning.Light","Parking.Sensors","Bottle.Holder","Voice.Control","Seat.Belt.Warning","Vehicle.Stability.Control.System","Engine.Immobilizer","Rear.Reading.Lamp","Radio","Outside.Temperature.Display","Fog.Lights.Front...Back","Centrally.Mounted.Fuel.Tank","CD.Player","DVD.Player","Electric.Adjustable.Seats","Keyless.Entry","Tyre.Pressure.Monitor","Smart.Access.Card.Entry","Xenon.Headlamps","Halogen.Headlamps","Removable.Convertible.Top","Cassette.Player"
"1","Honda","Accord Hybrid Sport-L 2023",31670,"https://www.ccarprice.com/products/Honda_Accord_Hybrid_Sport-L_2023.jpg","2.0L Inline-4 Hybrid","Sedan","Hybrid","CVT",204,2,247,4,"front",44,41,5,4,57.1,196.1,73.3,111.4,5.8,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","",""
"2","Honda","Accord Sedan 2023",28000,"https://www.ccarprice.com/products/Honda_Accord_Sedan_2023.jpg","1.5L Turbo Inline-4 Gas","Sedan","Petrol","CVT",192,1.5,260,4,"front",30,38,5,4,57.1,196.1,73.3,111.4,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","",""
"3","Honda","ZR-V 2023",25000,"https://www.ccarprice.com/products/Honda_ZRV_2023.jpg","2.0L Inline-4","SUV","Petrol","CVT",158,2,138,4,"front",26,32,5,4,63.4,179.8,72.4,104.5,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","Yes","","","","Yes","","","","","",""
"4","Honda","HR-V VTi-S 2022",27800,"https://www.ccarprice.com/products/Honda_HR-V_VTi-S_2022.jpg","2.0L Inline-4 Gas","SUV","Petrol","CVT",119,2,107,4,"front",13,15,5,4,64,174,72,104,8,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","Yes","Yes","","","Yes","Yes","","","","","",""
"5","Honda","HR-V VTi 2022",26900,"https://www.ccarprice.com/products/Honda_HR-V_VTi_2022.jpg","2.0L Inline-4 Gas","SUV","Petrol","CVT",119,2,107,4,"front",13,15,5,4,64,174,72,104,8,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","Yes","Yes","","","","Yes","","","","","",""
"6","Honda","Civic Sport 2023",25440,"https://www.ccarprice.com/products/Honda_Civic_Sport_2023.jpg","2.0L Inline-4 Gas","Hatchback","Petrol","CVT",158,2,138,NA,"front",29,37,5,4,55.7,179,70.9,107.7,5.2,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","","","","","","","","","","",""
"7","Honda","CR-V LX 2023",29990,"https://www.ccarprice.com/products/Honda_CR_V_LX_2023.jpg","1.5L Turbo Inline-4 Gas","SUV","Petrol","CVT",190,1.5,179,4,"front",28,34,5,4,66.1,182.1,73,104.8,6.2,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","","Yes","","","","","","","","","","","",""
"8","Honda","Clarity Fuel Cell 2023",65000,"https://www.ccarprice.com/products/Honda_Clarity_Fuel_Cell_2023.jpg","Electric","Sedan","Electric","Automatic",174,NA,221,NA,"front",0,0,5,4,58.2,192.7,73.9,108.3,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","","","","","","Yes","Yes","","","","","",""
"9","Honda","Ridgeline Black Edition 2023",46230,"https://www.ccarprice.com/products/Honda_Ridgeline_Black_Edition_2023.jpg","3.5L V6 Gas","SUV","Petrol","Automatic",280,3.5,262,6,"all",18,24,5,4,70.8,210.2,78.6,125.2,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","",""
"10","Honda","CR-V EX-L 2023",33760,"https://www.ccarprice.com/products/Honda_CR-V_EX-L_2023.jpg","1.5-liter Turbo Inline-4 Gas","SUV","Petrol","CVT",190,1.5,179,4,"front",28,34,5,4,66.2,184.8,73.5,106.3,NA,"Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","","","","","","","","","","","",""
